Field_Cycle_ID,District,Climate_Zone,Season,Crop_Type,Crop_Growth_Stage,Stage_Duration_days,Soil_Type,Soil_pH,Soil_Moisture_pct,Organic_Carbon_pct,Electrical_Conductivity_dSm,Tmax_C,Tmin_C,Temperature_C,Humidity_pct,Rainfall_mm,Sunlight_Hours,Wind_Speed_kmh,Irrigation_Type,Water_Source,Field_Area_hectare,Mulching_Used,Previous_Irrigation_mm,Reference_ET0_mm_day,Crop_Coefficient_Kc,Net_Irrigation_Requirement_mm,Gross_Irrigation_Requirement_mm
0,Kalutara,Wet,Maha,Big Onion,Initial,15,Sandy Loam,5.95,15.2,0.89,0.46,28.8,22.6,25.7,85.5,105.3,6.4,5.3,Rainfed,Agro-well,0.92,Yes,13.2,3.77,0.7,0.0,
0,Kalutara,Wet,Maha,Big Onion,Development,25,Sandy Loam,5.77,18.5,1.44,0.42,29.2,22.4,25.8,79.3,166.0,5.7,8.1,Rainfed,Agro-well,0.92,Yes,0.0,3.87,0.9,0.0,
0,Kalutara,Wet,Maha,Big Onion,Mid-season,35,Sandy Loam,5.9,18.9,1.04,0.37,27.2,23.1,25.1,85.5,104.6,5.9,5.3,Rainfed,Agro-well,0.92,Yes,0.0,2.79,1.05,0.0,
0,Kalutara,Wet,Maha,Big Onion,Late-season,20,Sandy Loam,5.85,17.53,0.54,0.44,28.1,22.7,25.4,84.5,112.9,6.2,8.4,Rainfed,Agro-well,0.92,Yes,0.0,3.09,0.75,0.0,
1,Monaragala,Intermediate,Maha,Paddy (Rice),Initial,20,Sandy,4.75,9.17,0.42,0.5,29.3,20.3,24.8,80.3,102.6,5.8,9.7,Drip,Agro-well,1.63,No,62.4,4.43,1.05,2.8,3.1
1,Monaragala,Intermediate,Maha,Paddy (Rice),Development,30,Sandy,5.05,11.65,0.52,0.16,29.3,19.1,24.2,82.8,221.7,6.7,7.4,Drip,Agro-well,1.63,No,2.8,4.47,1.1,0.0,0.0
1,Monaragala,Intermediate,Maha,Paddy (Rice),Mid-season,40,Sandy,5.17,12.6,0.26,0.11,28.0,19.5,23.7,84.4,224.7,6.6,9.3,Drip,Agro-well,1.63,No,0.0,3.77,1.2,0.0,0.0
1,Monaragala,Intermediate,Maha,Paddy (Rice),Late-season,25,Sandy,4.83,12.6,0.56,0.21,27.4,19.9,23.7,77.5,115.5,5.9,10.6,Drip,Agro-well,1.63,No,0.0,3.47,0.95,0.0,0.0
2,Galle,Wet,Yala,Tomato,Initial,20,Sandy,5.53,8.47,0.67,0.69,29.5,24.9,27.2,82.0,199.1,5.6,9.4,Furrow/Surface,Agro-well,0.51,No,15.8,3.38,0.6,0.0,0.0
2,Galle,Wet,Yala,Tomato,Development,25,Sandy,4.79,12.6,0.66,0.57,28.9,22.7,25.8,81.4,195.0,5.3,10.6,Furrow/Surface,Agro-well,0.51,No,0.0,3.71,0.9,0.0,0.0
