Climate_Zone,Season,Crop_Type,Crop_Growth_Stage,Stage_Duration_days,Soil_Type,Soil_pH,Soil_Moisture_pct,Organic_Carbon_pct,Electrical_Conductivity_dSm,Tmax_C,Tmin_C,Temperature_C,Humidity_pct,Rainfall_mm,Sunlight_Hours,Wind_Speed_kmh,Irrigation_Type,Water_Source,Field_Area_hectare,Mulching_Used,Reference_ET0_mm_day,Crop_Coefficient_Kc
Wet,Maha,Big Onion,Initial,15,Sandy Loam,5.95,15.2,0.89,0.46,28.8,22.6,25.7,85.5,105.3,6.4,5.3,Rainfed,Agro-well,0.92,Yes,3.77,0.7
Wet,Maha,Big Onion,Development,25,Sandy Loam,5.77,18.5,1.44,0.42,29.2,22.4,25.8,79.3,166.0,5.7,8.1,Rainfed,Agro-well,0.92,Yes,3.87,0.9
Wet,Maha,Big Onion,Mid-season,35,Sandy Loam,5.9,18.9,1.04,0.37,27.2,23.1,25.1,85.5,104.6,5.9,5.3,Rainfed,Agro-well,0.92,Yes,2.79,1.05
Wet,Maha,Big Onion,Late-season,20,Sandy Loam,5.85,17.53,0.54,0.44,28.1,22.7,25.4,84.5,112.9,6.2,8.4,Rainfed,Agro-well,0.92,Yes,3.09,0.75
Intermediate,Maha,Paddy (Rice),Initial,20,Sandy,4.75,9.17,0.42,0.5,29.3,20.3,24.8,80.3,102.6,5.8,9.7,Drip,Agro-well,1.63,No,4.43,1.05
Intermediate,Maha,Paddy (Rice),Development,30,Sandy,5.05,11.65,0.52,0.16,29.3,19.1,24.2,82.8,221.7,6.7,7.4,Drip,Agro-well,1.63,No,4.47,1.1
Intermediate,Maha,Paddy (Rice),Mid-season,40,Sandy,5.17,12.6,0.26,0.11,28.0,19.5,23.7,84.4,224.7,6.6,9.3,Drip,Agro-well,1.63,No,3.77,1.2
Intermediate,Maha,Paddy (Rice),Late-season,25,Sandy,4.83,12.6,0.56,0.21,27.4,19.9,23.7,77.5,115.5,5.9,10.6,Drip,Agro-well,1.63,No,3.47,0.95
Wet,Yala,Tomato,Initial,20,Sandy,5.53,8.47,0.67,0.69,29.5,24.9,27.2,82.0,199.1,5.6,9.4,Furrow/Surface,Agro-well,0.51,No,3.38,0.6
Wet,Yala,Tomato,Development,25,Sandy,4.79,12.6,0.66,0.57,28.9,22.7,25.8,81.4,195.0,5.3,10.6,Furrow/Surface,Agro-well,0.51,No,3.71,0.9
Wet,Yala,Tomato,Mid-season,35,Sandy,4.96,12.6,0.57,0.61,32.4,23.9,28.1,79.0,198.2,4.7,9.7,Furrow/Surface,Agro-well,0.51,No,4.49,1.15
Wet,Yala,Tomato,Late-season,20,Sandy,5.59,12.6,0.5,0.16,29.3,22.6,26.0,76.3,358.4,6.0,8.9,Furrow/Surface,Agro-well,0.51,No,3.83,0.8
Wet,Maha,Big Onion,Initial,15,Sandy Loam,5.66,12.9,0.87,0.56,27.3,22.9,25.1,79.2,92.3,5.0,4.4,Rainfed,River/Canal Diversion,0.38,Yes,3.15,0.7
Wet,Maha,Big Onion,Development,25,Sandy Loam,5.05,13.51,1.31,0.84,28.2,22.1,25.2,85.4,150.4,6.3,10.1,Rainfed,River/Canal Diversion,0.38,Yes,3.61,0.9
Wet,Maha,Big Onion,Mid-season,35,Sandy Loam,5.53,14.7,0.98,0.78,27.6,23.8,25.7,76.6,148.3,5.3,8.3,Rainfed,River/Canal Diversion,0.38,Yes,2.73,1.05
Wet,Maha,Big Onion,Late-season,20,Sandy Loam,5.97,14.25,0.57,0.51,28.6,20.7,24.6,80.8,40.2,5.3,4.6,Rainfed,River/Canal Diversion,0.38,Yes,3.72,0.75
Dry,Yala,Paddy (Rice),Initial,20,Sandy Loam,5.01,13.44,0.75,0.56,32.6,24.1,28.3,69.4,9.0,10.0,18.6,Furrow/Surface,Rainfed,0.74,Yes,4.75,1.05
Dry,Yala,Paddy (Rice),Development,30,Sandy Loam,5.56,13.61,0.46,0.21,33.1,23.3,28.2,55.1,37.3,8.1,9.8,Furrow/Surface,Rainfed,0.74,Yes,4.96,1.1
Dry,Yala,Paddy (Rice),Mid-season,40,Sandy Loam,6.29,12.07,0.65,0.45,32.3,22.9,27.6,79.0,62.7,10.2,9.5,Furrow/Surface,Rainfed,0.74,Yes,4.75,1.2
Dry,Yala,Paddy (Rice),Late-season,25,Sandy Loam,5.38,12.02,1.02,0.7,34.6,23.6,29.1,67.2,40.2,7.2,12.3,Furrow/Surface,Rainfed,0.74,Yes,5.35,0.95
Dry,Yala,Green Gram,Initial,12,Loamy,6.37,23.61,1.34,0.32,34.5,23.2,28.9,61.3,38.7,9.0,13.8,Rainfed,Rainfed,1.05,Yes,5.53,0.4
Dry,Yala,Green Gram,Development,18,Loamy,4.97,23.15,1.13,0.64,34.3,24.1,29.2,66.2,42.5,8.1,12.2,Rainfed,Rainfed,1.05,Yes,5.26,0.75
Dry,Yala,Green Gram,Mid-season,22,Loamy,5.98,21.33,0.88,0.52,33.5,22.2,27.9,70.0,79.5,9.4,8.4,Rainfed,Rainfed,1.05,Yes,5.26,1.05
Dry,Yala,Green Gram,Late-season,13,Loamy,5.88,18.8,1.22,0.43,34.8,25.7,30.2,75.1,40.1,8.5,18.2,Rainfed,Rainfed,1.05,Yes,4.89,0.4
Wet,Yala,Big Onion,Initial,15,Loamy,6.01,13.39,0.84,0.43,29.4,22.4,25.9,80.9,70.1,7.6,10.6,Rainfed,Major Tank,1.84,No,4.07,0.7
Wet,Yala,Big Onion,Development,25,Loamy,5.17,13.82,1.02,0.75,30.7,24.0,27.4,73.8,268.2,6.6,9.2,Rainfed,Major Tank,1.84,No,4.02,0.9
Wet,Yala,Big Onion,Mid-season,35,Loamy,6.09,19.55,1.28,0.38,31.0,23.8,27.4,86.4,454.3,5.9,11.0,Rainfed,Major Tank,1.84,No,4.08,1.05
Wet,Yala,Big Onion,Late-season,20,Loamy,5.67,24.77,1.26,0.81,29.3,23.8,26.6,87.0,328.9,5.6,8.7,Rainfed,Major Tank,1.84,No,3.52,0.75
Dry,Maha,Paddy (Rice),Initial,20,Loamy,6.21,17.01,1.28,0.25,31.6,23.8,27.7,71.0,41.5,5.8,5.0,Rainfed,Major Tank,3.42,Yes,4.38,1.05
Dry,Maha,Paddy (Rice),Development,30,Loamy,6.21,21.23,0.99,0.56,31.6,22.0,26.8,81.3,211.7,7.4,9.3,Rainfed,Major Tank,3.42,Yes,4.52,1.1
Dry,Maha,Paddy (Rice),Mid-season,40,Loamy,5.48,23.68,0.76,0.05,32.5,22.1,27.3,81.6,277.5,6.6,8.7,Rainfed,Major Tank,3.42,Yes,4.41,1.2
Dry,Maha,Paddy (Rice),Late-season,25,Loamy,6.04,26.25,0.95,0.45,32.4,22.2,27.3,80.0,116.3,7.7,12.3,Rainfed,Major Tank,3.42,Yes,4.27,0.95
Wet,Yala,Paddy (Rice),Initial,20,Sandy Loam,5.52,12.67,0.98,0.57,27.7,24.3,26.0,80.6,109.1,6.0,6.3,Furrow/Surface,Rainfed,0.22,No,2.81,1.05
Wet,Yala,Paddy (Rice),Development,30,Sandy Loam,5.74,14.17,1.39,0.92,29.2,22.2,25.7,87.3,313.0,6.1,11.8,Furrow/Surface,Rainfed,0.22,No,3.95,1.1
Wet,Yala,Paddy (Rice),Mid-season,40,Sandy Loam,4.96,18.9,0.38,0.28,29.7,24.5,27.1,79.6,398.6,6.7,8.9,Furrow/Surface,Rainfed,0.22,No,3.45,1.2
Wet,Yala,Paddy (Rice),Late-season,25,Sandy Loam,5.67,18.9,1.05,0.43,29.2,25.2,27.2,87.4,173.8,5.6,9.9,Furrow/Surface,Rainfed,0.22,No,3.07,0.95
Wet,Yala,Big Onion,Initial,15,Loamy,6.18,17.95,1.11,0.83,28.7,23.9,26.3,79.6,165.0,6.9,11.7,Furrow/Surface,Agro-well,2.14,No,3.4,0.7
Wet,Yala,Big Onion,Development,25,Loamy,4.81,25.58,1.04,1.21,29.2,21.7,25.4,77.0,137.8,7.5,11.2,Furrow/Surface,Agro-well,2.14,No,4.06,0.9
Wet,Yala,Big Onion,Mid-season,35,Loamy,6.14,25.82,1.4,0.43,28.9,23.9,26.4,76.8,297.1,6.2,9.2,Furrow/Surface,Agro-well,2.14,No,3.32,1.05
Wet,Yala,Big Onion,Late-season,20,Loamy,6.58,26.25,1.24,0.66,31.1,22.6,26.9,79.4,320.9,7.5,8.5,Furrow/Surface,Agro-well,2.14,No,4.37,0.75
Dry,Yala,Maize,Initial,20,Sandy,5.28,3.21,0.4,0.54,33.0,22.3,27.6,63.0,31.6,8.4,12.5,Rainfed,Major Tank,0.18,No,5.24,0.3
Dry,Yala,Maize,Development,30,Sandy,4.79,2.0,0.35,0.22,34.5,24.6,29.5,69.8,47.6,9.6,12.7,Rainfed,Major Tank,0.18,No,5.17,0.75
Dry,Yala,Maize,Mid-season,35,Sandy,5.42,2.3,0.64,0.11,34.4,24.1,29.2,63.4,64.1,8.8,15.2,Rainfed,Major Tank,0.18,No,5.16,1.2
Dry,Yala,Maize,Late-season,15,Sandy,5.35,3.29,0.2,0.17,34.3,23.1,28.7,69.1,71.7,7.2,17.0,Rainfed,Major Tank,0.18,No,5.34,0.6
Intermediate,Maha,Paddy (Rice),Initial,20,Sandy,4.49,8.5,0.7,0.28,30.5,17.8,24.2,75.6,183.0,5.9,7.0,Furrow/Surface,Minor Tank,0.4,No,5.17,1.05
Intermediate,Maha,Paddy (Rice),Development,30,Sandy,4.79,12.6,0.65,0.12,27.8,18.9,23.3,84.7,11.6,6.8,8.9,Furrow/Surface,Minor Tank,0.4,No,4.1,1.1
Intermediate,Maha,Paddy (Rice),Mid-season,40,Sandy,5.21,12.25,0.65,0.28,27.6,18.2,22.9,85.6,400.2,6.4,6.8,Furrow/Surface,Minor Tank,0.4,No,3.88,1.2
Intermediate,Maha,Paddy (Rice),Late-season,25,Sandy,5.04,12.6,0.21,0.34,27.9,19.1,23.5,88.8,291.6,5.4,3.2,Furrow/Surface,Minor Tank,0.4,No,3.74,0.95
Dry,Maha,Green Gram,Initial,12,Sandy,5.87,7.33,0.38,0.52,31.3,23.1,27.2,70.3,159.3,6.9,8.0,Drip,Minor Tank,0.19,No,4.46,0.4
Dry,Maha,Green Gram,Development,18,Sandy,5.06,12.5,0.58,0.06,30.5,22.7,26.6,85.1,86.5,6.5,4.8,Drip,Minor Tank,0.19,No,4.16,0.75
Dry,Maha,Green Gram,Mid-season,22,Sandy,5.53,12.6,0.67,0.88,32.1,22.0,27.0,66.2,54.4,7.4,9.7,Drip,Minor Tank,0.19,No,4.57,1.05
